TemperatureC;Humidity;Wind Direction;Wind SpeedKm/h;Conditions;WindDirDegrees;Hour;DateUTC
4;95;West;1.9;;280;23;2016-12-26 23:00
4;100;SE;1.9;;130;0;2016-12-27 00:00
2;100;ESE;3.7;;120;1;2016-12-27 01:00
1;97;NE;1.9;;40;2;2016-12-27 02:00
0;100;NNE;1.9;;30;4;2016-12-27 04:00
0;99;NW;1.9;;320;5;2016-12-27 05:00
1;100;SSW;3.7;Heavy Fog;200;6;2016-12-27 06:00
1;99;South;1.9;;180;7;2016-12-27 07:00
0;99;NW;1.9;;310;8;2016-12-27 08:00
2;98;NE;3.7;Partial Fog;50;9;2016-12-27 09:00
3;99;East;5.6;;90;10;2016-12-27 10:00
3.0;100;Variable;1.9;Fog;0;10;2016-12-27 10:00
5.0;100;Variable;3.7;Mist;0;10;2016-12-27 10:36
6;100;East;3.7;;100;11;2016-12-27 11:00
10;86;ENE;7.4;;60;12;2016-12-27 12:00
10.0;82;East;5.6;Clear;80;12;2016-12-27 12:00
12;67;ENE;7.4;;60;13;2016-12-27 13:00
12.0;77;Variable;3.7;Clear;0;13;2016-12-27 13:00
14;57;NE;7.4;;50;14;2016-12-27 14:00
14.0;67;Variable;3.7;Clear;0;14;2016-12-27 14:00
15;51;NNE;7.4;Clear;20;15;2016-12-27 15:00
15.0;63;Variable;3.7;Clear;0;15;2016-12-27 15:00
15;50;ENE;5.6;;60;16;2016-12-27 16:00
16.0;59;Variable;3.7;Clear;0;16;2016-12-27 16:00
14;59;WNW;1.9;;290;17;2016-12-27 17:00
10.0;82;West;1.9;Clear;280;18;2016-12-27 18:00
9;80;WNW;1.9;;290;19;2016-12-27 19:00
8;86;WNW;3.7;;300;20;2016-12-27 20:00
8.0;93;NW;3.7;Clear;320;20;2016-12-27 20:00
7;91;West;3.7;;280;21;2016-12-27 21:00
6;93;WNW;1.9;;290;22;2016-12-27 22:00
4;98;WSW;1.9;;250;0;2016-12-28 00:00
2;99;NNE;3.7;;30;3;2016-12-28 03:00
2;99;ESE;3.7;;120;4;2016-12-28 04:00
2;99;SSE;1.9;;160;5;2016-12-28 05:00
1;98;SE;3.7;;140;7;2016-12-28 07:00
1.0;100;SSE;1.9;Mist;160;7;2016-12-28 07:00
1;99;SSE;1.9;;150;8;2016-12-28 08:00
2;100;East;1.9;Clear;100;9;2016-12-28 09:00
6;99;East;7.4;;90;10;2016-12-28 10:00
6.0;100;East;3.7;Unknown;80;10;2016-12-28 10:00
10;78;East;11.1;;80;11;2016-12-28 11:00
10.0;82;East;9.3;Clear;90;11;2016-12-28 11:00
13;63;ENE;9.3;Partly Cloudy;60;12;2016-12-28 12:00
13.0;72;ENE;5.6;Clear;60;12;2016-12-28 12:00
15;57;ENE;13.0;;70;13;2016-12-28 13:00
15.0;63;ENE;11.1;Clear;60;13;2016-12-28 13:00
16;51;East;11.1;;90;14;2016-12-28 14:00
16.0;63;ENE;9.3;Clear;70;14;2016-12-28 14:00
16;45;East;11.1;Partly Cloudy;80;15;2016-12-28 15:00
16.0;55;East;9.3;Clear;90;15;2016-12-28 15:00
14;57;East;7.4;;90;16;2016-12-28 16:00
14.0;67;East;5.6;Clear;80;16;2016-12-28 16:00
12;60;East;5.6;;100;17;2016-12-28 17:00
12.0;67;East;3.7;Clear;90;17;2016-12-28 17:00
9;69;East;1.9;Clear;90;18;2016-12-28 18:00
10.0;76;East;1.9;Clear;80;18;2016-12-28 18:00
7;83;NW;3.7;;320;19;2016-12-28 19:00
7.0;87;Variable;3.7;Clear;0;19;2016-12-28 19:00
7;86;South;1.9;;170;20;2016-12-28 20:00
6;82;East;5.6;;100;21;2016-12-28 21:00
4;82;ENE;3.7;;70;22;2016-12-28 22:00
4;97;ESE;1.9;;110;23;2016-12-28 23:00
4;98;ESE;5.6;;110;0;2016-12-29 00:00
3;100;West;3.7;;280;1;2016-12-29 01:00
3;97;ENE;3.7;;70;2;2016-12-29 02:00
2;100;East;5.6;;90;3;2016-12-29 03:00
3;100;East;5.6;;90;4;2016-12-29 04:00
4;100;ESE;5.6;;110;5;2016-12-29 05:00
3;100;South;3.7;Clear;190;6;2016-12-29 06:00
2;100;NW;3.7;;310;7;2016-12-29 07:00
1.0;100;NNW;1.9;Fog;340;7;2016-12-29 07:00
2;100;SE;1.9;;130;8;2016-12-29 08:00
2.0;100;South;1.9;Mist;190;8;2016-12-29 08:26
3;98;NE;1.9;Clear;40;9;2016-12-29 09:00
6;98;NE;3.7;;50;10;2016-12-29 10:00
10;78;East;11.1;;80;11;2016-12-29 11:00
10.0;82;East;11.1;Clear;80;11;2016-12-29 11:00
12;64;East;13.0;Clear;80;12;2016-12-29 12:00
13.0;67;East;11.1;Clear;80;12;2016-12-29 12:00
14;51;ENE;14.8;;70;13;2016-12-29 13:00
14.0;63;East;13.0;Clear;80;13;2016-12-29 13:00
15;48;ENE;14.8;;70;14;2016-12-29 14:00
15.0;59;East;14.8;Clear;80;14;2016-12-29 14:00
15;49;East;16.7;Clear;80;15;2016-12-29 15:00
15.0;63;East;14.8;Clear;80;15;2016-12-29 15:00
15;52;East;11.1;;90;16;2016-12-29 16:00
15.0;63;East;9.3;Clear;90;16;2016-12-29 16:00
13;59;East;9.3;;80;17;2016-12-29 17:00
13.0;72;East;3.7;Clear;90;17;2016-12-29 17:00
11;71;ESE;5.6;Clear;120;18;2016-12-29 18:00
10.0;82;East;5.6;Clear;100;18;2016-12-29 18:00
8;82;NNE;5.6;;30;19;2016-12-29 19:00
9.0;87;NE;1.9;Clear;50;19;2016-12-29 19:00
8;83;NE;5.6;;50;20;2016-12-29 20:00
9.0;87;NE;5.6;Clear;40;20;2016-12-29 20:00
8;88;ESE;5.6;;110;21;2016-12-29 21:00
6;86;SE;1.9;;140;22;2016-12-29 22:00
